caldt,VBINX,VPACX,VEURX,VEIEX,VFINX,VEXMX,VVIAX,NAESX,VISVX,VISGX,VIMSX
2019-08-30,-0.001068662,-0.024959742,-0.016724739,-0.037636432,-0.015911072,-0.041857923,-0.029108412,-0.040252565,-0.054533925,-0.024175412,-0.027249135
2019-09-30,0.007964684,0.040821381,0.025531878,0.013282165,0.018588489,0.010181608,0.033833957,0.013711529,0.039483164,-0.015331907,0.020592192
2019-10-31,0.013866667,0.035828025,0.036831133,0.038671875,0.021549998,0.019023893,0.018603583,0.015995662,0.016833927,0.014837954,0.010705702
2019-11-29,0.022356654,0.008455035,0.014745308,0.001504325,0.036204255,0.045671741,0.03427283,0.041360907,0.025151226,0.061562139,0.032209252
2019-12-31,0.016445255,0.025807961,0.042211146,0.069606863,0.030054684,0.021547361,0.027330526,0.021810306,0.027737326,0.014833432,0.02397457
2020-01-31,0.008157023,-0.034690799,-0.027715833,-0.050461976,-0.000503086,-0.00574953,-0.025229848,-0.020415879,-0.034083993,-0.003757381,-0.002467105
2020-02-28,-0.042225032,-0.071875,-0.078964613,-0.037050898,-0.082413342,-0.079697193,-0.098267164,-0.086710408,-0.102079395,-0.068606322,-0.087592745
2020-03-31,-0.084797035,-0.116993983,-0.170139302,-0.175230185,-0.123720924,-0.213233467,-0.14644957,-0.218647429,-0.249332235,-0.183569305,-0.184144109
2020-04-30,0.085465116,0.070543375,0.072013799,0.092924528,0.128138492,0.158063109,0.106958022,0.146500271,0.12945591,0.164577914,0.144089013
2020-05-29,0.034547402,0.057880677,0.056717619,0.023305999,0.047521736,0.088021095,0.028311688,0.077299259,0.047342193,0.107614213,0.070994408
2020-06-30,0.017296843,0.030247372,0.036787378,0.071553914,0.019813157,0.040435545,-0.009681793,0.02539444,0.020746329,0.030235199,0.019477115
2020-07-31,0.03986711,0.004098361,0.036954915,0.083761359,0.056270096,0.056748637,0.035989717,0.044927744,0.033164261,0.057315771,0.06459544
2020-08-31,0.038584419,0.060408163,0.043121882,0.022602989,0.07176891,0.071812151,0.042431762,0.040531289,0.046072508,0.034680135,0.031492757
2020-09-30,-0.02115221,0.002656782,-0.032190306,-0.01665869,-0.038105692,-0.030274721,-0.022000125,-0.027279221,-0.037731947,-0.015318574,-0.017272562
2020-10-30,-0.014805825,-0.01387818,-0.055003549,0.019392609,-0.026713499,0.004571312,-0.020588235,0.019953848,0.030177292,0.008602151,-0.001039285
2020-11-30,0.076619857,0.124315872,0.167480285,0.082196698,0.109356377,0.182930529,0.128628629,0.160101145,0.176858294,0.141052977,0.134415314
2020-12-31,0.027041418,0.065088135,0.054458859,0.058884845,0.038389456,0.071967939,0.035962477,0.073765977,0.06662584,0.08264579,0.041077105
2021-01-29,-0.00496166,-0.00660066,-0.016262657,0.029291339,-0.010213503,0.028598894,-0.00797242,0.021995708,0.020833333,0.02287234,-0.005307856
2021-02-26,0.012692656,0.019269103,0.026512789,0.016523868,0.027546202,0.051869159,0.050608167,0.061207349,0.08766887,0.031201248,0.05247243
2021-03-31,0.015624525,0.013920226,0.030784509,-0.010313073,0.043702413,-0.004067827,0.064916893,0.016007056,0.05172501,-0.027977511,0.023601316
2021-04-30,0.034413854,0.004507405,0.048239124,0.018569254,0.05322717,0.042064439,0.035330861,0.040312347,0.041614124,0.038536395,0.048170833
2021-05-28,0.003648852,0.017948718,0.045454545,0.019725045,0.006860841,-0.006727741,0.028657617,0.000562957,0.021307506,-0.027611194,0.008054327
2021-06-30,0.018695446,-0.005722642,-0.016333362,0.011849988,0.023232752,0.034531229,-0.011708145,0.014208551,-0.009640724,0.047541145,0.017852865
2021-07-30,0.01474305,-0.014012739,0.020255272,-0.062863795,0.023619864,-0.012352572,0.009882528,-0.014455152,-0.016334374,-0.011783479,0.012808642
2021-08-31,0.0166044,0.011627907,0.017405494,0.026708075,0.030290344,0.019997174,0.021233383,0.019650244,0.020512821,0.018258601,0.030016761
2021-09-30,-0.03121714,-0.008874275,-0.053177242,-0.03370023,-0.046630924,-0.040106737,-0.039646389,-0.031248371,-0.025746504,-0.037984514,-0.041683199
2021-10-29,0.04038055,-0.003880983,0.047118933,0.011051468,0.069932356,0.054114587,0.054724484,0.049036443,0.045107222,0.053772987,0.066058168
2021-11-30,-0.007722008,-0.046753247,-0.049064787,-0.032167395,-0.00705086,-0.05023989,-0.030341113,-0.043470353,-0.02995283,-0.061018173,-0.025250327
2021-12-31,0.021666669,0.034485886,0.058051716,0.017381961,0.044685827,0.005454337,0.068983495,0.034830939,0.048961044,0.016271478,0.038729534
2022-01-31,-0.045083639,-0.050972502,-0.038367347,0.003841229,-0.051857409,-0.101080692,-0.010282328,-0.079187817,-0.044553301,-0.126372933,-0.078659764
2022-02-28,-0.01986755,-0.000706714,-0.046123373,-0.042729592,-0.029996403,-0.000160295,-0.011621764,0.008519595,0.017089844,-0.004479769,-0.009989074
2022-03-31,0.008393466,0.000309641,-0.005020075,-0.02474221,0.036933027,0.008350237,0.03237639,0.014659877,0.016242392,0.012048193,0.026713284
2022-04-29,-0.069919408,-0.072135785,-0.058542413,-0.055802807,-0.087302726,-0.105790646,-0.047362942,-0.08246613,-0.063744076,-0.109724613,-0.080535879
2022-05-31,0.00117096,0.014481707,0.020304569,0.005801305,0.001702953,-0.022504892,0.023310872,-0.000320993,0.018476335,-0.028838408,-0.003349523
2022-06-30,-0.056716569,-0.086431934,-0.101841056,-0.044319279,-0.082654076,-0.092738167,-0.079752223,-0.094018057,-0.10314006,-0.080056366,-0.094062839
2022-07-29,0.065006227,0.053897181,0.051535475,-0.008735283,0.092095472,0.102762431,0.052160374,0.10558123,0.097689953,0.117148014,0.095964292
2022-08-31,-0.033208606,-0.035405193,-0.073514602,0.002298851,-0.040906709,-0.021042084,-0.027192009,-0.026152197,-0.027383367,-0.024398126,-0.02969625
2022-09-30,-0.072678048,-0.108482871,-0.100362319,-0.113149847,-0.092201363,-0.099209954,-0.079089758,-0.095752359,-0.099711478,-0.089956333,-0.098767034
